POTRAVINY	OCHUCOVADLÁ 	Citrón	100.0	-100.0	66.66666667
POTRAVINY	OCHUCOVADLÁ 	Limetka	100.0	66.66666667	-100.0
POTRAVINY	OCHUCOVADLÁ 	Limetkové pickle	100.0	-100.0	-100.0
POTRAVINY	ORECHY 	Macadamské orechy	100.0	-100.0	-100.0
POTRAVINY	OCHUCOVADLÁ 	Mangové pickle	100.0	-100.0	-100.0
POTRAVINY	OCHUCOVADLÁ 	Majonéza	100.0	-100.0	-100.0
POTRAVINY	OCHUCOVADLÁ 	Horčica	100.0	-100.0	0.0
POTRAVINY	OCHUCOVADLÁ 	Horčica (bez octu)	0.0	0.0	100.0
POTRAVINY	ORECHY 	Arašidy	100.0	-100.0	-100.0
POTRAVINY	ORECHY 	Pekanové oriešky	100.0	-100.0	-100.0
POTRAVINY	OCHUCOVADLÁ 	Pickles	100.0	-100.0	-100.0
POTRAVINY	ORECHY 	Píniové oriešky	100.0	-100.0	-100.0
POTRAVINY	ORECHY 	Pistácie	100.0	-100.0	-100.0
POTRAVINY	OCHUCOVADLÁ 	Soľ	100.0	66.66666667	-100.0
POTRAVINY	OCHUCOVADLÁ 	Soľ (presolenie)	0.0	-100.0	0.0
POTRAVINY	OCHUCOVADLÁ 	Pažitka	100.0	-100.0	100.0
POTRAVINY	OCHUCOVADLÁ 	Morské riasy	100.0	66.66666667	66.66666667
POTRAVINY	OCHUCOVADLÁ 	Sójová omáčka	100.0	-100.0	-100.0
POTRAVINY	OCHUCOVADLÁ 	Klíčky	66.66666667	66.66666667	100.0
POTRAVINY	OCHUCOVADLÁ 	Tamari	100.0	66.66666667	-100.0
POTRAVINY	OCHUCOVADLÁ 	Ocot	100.0	-100.0	-100.0
POTRAVINY	ORECHY 	Vlašské orechy	100.0	-100.0	-100.0
POTRAVINY	MLIEČNE	Maslo	200.0	0.0	0.0
POTRAVINY	MLIEČNE	Maslo (solené)	0.0	-100.0	-100.0
POTRAVINY	MLIEČNE	Maslo (nesolené)	0.0	100.0	-33.33333333
POTRAVINY	MLIEČNE	Podmáslie	100.0	-100.0	66.66666667
