POTRAVINY	NÁPOJE		Ananás šťava 		0	0	66.66666667
POTRAVINY	NÁPOJE		Pomegranate šťava		0	0	100
POTRAVINY	NÁPOJE		Pomegranate šťava 		-100	0	0
POTRAVINY	NÁPOJE		Pomegranate šťava 		0	100	0
POTRAVINY	NÁPOJE		Slivka šťava 		0	100	0
POTRAVINY	NÁPOJE		Slivka šťava 		0	0	100
POTRAVINY	NÁPOJE		Slivka šťava 		-33.33333333	0	0
POTRAVINY	NÁPOJE		Ryža mlieko 		100	0	0
POTRAVINY	NÁPOJE		Ryža mlieko 		0	100	0
POTRAVINY	NÁPOJE		Ryža mlieko 		0	0	-100
POTRAVINY	NÁPOJE		kyslé juices		100	0	0
POTRAVINY	NÁPOJE		kyslé juices		0	0	-100
POTRAVINY	NÁPOJE		kyslé juices 		0	100	0
POTRAVINY	NÁPOJE		Sója mlieko 		0	100	0
POTRAVINY	NÁPOJE		Sója mlieko  	cold	-100	0	0
POTRAVINY	NÁPOJE		Sója mlieko  	cold	0	0	-100
POTRAVINY	NÁPOJE		Sója mlieko  	hot & well-spiced	0	0	100
POTRAVINY	NÁPOJE		Sója mlieko  	hot & well-spiced	66.66666667	0	0
POTRAVINY	NÁPOJE		Paradajka šťava 		0	-100	0
POTRAVINY	NÁPOJE		Paradajka šťava 		0	0	-100
POTRAVINY	NÁPOJE		Paradajka šťava 		-33.33333333	0	0
POTRAVINY	NÁPOJE		V-8 šťava 		-100	0	0
POTRAVINY	NÁPOJE		V-8 šťava 		0	-100	0
POTRAVINY	NÁPOJE		V-8 šťava 		0	0	-100
POTRAVINY	NÁPOJE		Vegetable bouillon		100	0	0
POTRAVINY	NÁPOJE		Vegetable bouillon		0	100	0
POTRAVINY	NUTS 		Almonds	soaked & peeled	0	0	-33.33333333
POTRAVINY	NUTS 		Almonds	soaked & peeled	0	100	0
POTRAVINY	NUTS 		Almonds	with skin	0	-100	0
POTRAVINY	NUTS 		Almonds 		100	0	0
POTRAVINY	CONDIMENTS 		Black pepper 		0	0	100
POTRAVINY	CONDIMENTS 		Black pepper 		66.66666667	0	0
POTRAVINY	CONDIMENTS 		Black pepper 		0	66.66666667	0
POTRAVINY	NUTS 		Black walnuts 		0	-100	0
POTRAVINY	NUTS 		Black walnuts 		0	0	-100
POTRAVINY	NUTS 		Brazil nuts 		100	0	0
POTRAVINY	NUTS 		Brazil nuts 		0	-100	0
POTRAVINY	NUTS 		Brazil nuts 		0	0	-100
POTRAVINY	NUTS 		Cashews 		100	0	0
POTRAVINY	NUTS 		Cashews 		0	-100	0
POTRAVINY	NUTS 		Cashews 		0	0	-100
POTRAVINY	NUTS 		Charole		100	0	0
POTRAVINY	NUTS 		Charole		0	100	0
POTRAVINY	NUTS 		Charole		0	0	100
POTRAVINY	CONDIMENTS 		Chili pepper 		0	-100	0
POTRAVINY	CONDIMENTS 		Chili pepper 		0	0	100
POTRAVINY	CONDIMENTS 		Chili pepper 		66.66666667	0	0
POTRAVINY	CONDIMENTS 		Čokoláda		-100	0	0
POTRAVINY	CONDIMENTS 		Čokoláda		0	-100	0
POTRAVINY	CONDIMENTS 		Čokoláda		0	0	-100
POTRAVINY	CONDIMENTS 		Chutney, mango	spicy	0	-100	0
POTRAVINY	CONDIMENTS 		Chutney, mango	spicy	0	0	100
POTRAVINY	CONDIMENTS 		Chutney, mango	sladké	100	0	0
POTRAVINY	CONDIMENTS 		Chutney, mango	spicy	100	0	0
POTRAVINY	CONDIMENTS 		Chutney, mango	sladké	0	100	0
POTRAVINY	CONDIMENTS 		Chutney, mango	sladké	0	0	-100
POTRAVINY	NUTS 		Coconut		100	0	0
POTRAVINY	NUTS 		Coconut		0	100	0
POTRAVINY	NUTS 		Coconut		0	0	-100
POTRAVINY	CONDIMENTS 		Coriander leaves 		0	100	0
POTRAVINY	CONDIMENTS 		Coriander leaves 		0	0	100
POTRAVINY	CONDIMENTS 		Coriander leaves 		66.66666667	0	0
POTRAVINY	CONDIMENTS 		Dulse		100	0	0
POTRAVINY	CONDIMENTS 		Dulse		0	66.66666667	0
POTRAVINY	CONDIMENTS 		Dulse		0	0	66.66666667
POTRAVINY	NUTS 		Filberts		100	0	0
POTRAVINY	NUTS 		Filberts		0	-100	0
POTRAVINY	NUTS 		Filberts		0	0	-100
POTRAVINY	CONDIMENTS 		Gomasio 		100	0	0
POTRAVINY	CONDIMENTS 		Gomasio 		0	-100	0
POTRAVINY	CONDIMENTS 		Gomasio 		0	0	-100
POTRAVINY	NUTS 		Hazelnuts		100	0	0
POTRAVINY	NUTS 		Hazelnuts		0	-100	0
POTRAVINY	NUTS 		Hazelnuts		0	0	-100
POTRAVINY	CONDIMENTS 		Hijiki 		100	0	0
POTRAVINY	CONDIMENTS 		Hijiki 		0	66.66666667	0
POTRAVINY	CONDIMENTS 		Hijiki 		0	0	66.66666667
POTRAVINY	CONDIMENTS 		Horseradish		-100	0	0
POTRAVINY	CONDIMENTS 		Horseradish		0	-100	0
POTRAVINY	CONDIMENTS 		Horseradish		0	0	100
POTRAVINY	CONDIMENTS 		Kelp		100	0	0
POTRAVINY	CONDIMENTS 		Kelp		0	-100	0
POTRAVINY	CONDIMENTS 		Kelp		0	0	-100
POTRAVINY	CONDIMENTS 		Ketchup		100	0	0
POTRAVINY	CONDIMENTS 		Ketchup		0	-100	0
POTRAVINY	CONDIMENTS 		Ketchup		0	0	-33.33333333
POTRAVINY	CONDIMENTS 		Kombu		100	0	0
POTRAVINY	CONDIMENTS 		Kombu		0	66.66666667	0
POTRAVINY	CONDIMENTS 		Lemon		100	0	0
POTRAVINY	CONDIMENTS 		Lemon		0	-100	0
POTRAVINY	CONDIMENTS 		Lemon		0	0	66.66666667
POTRAVINY	CONDIMENTS 		Lime		100	0	0
POTRAVINY	CONDIMENTS 		Lime		0	0	-100
POTRAVINY	CONDIMENTS 		Lime pickle 		100	0	0
POTRAVINY	CONDIMENTS 		Lime pickle 		0	-100	0
POTRAVINY	CONDIMENTS 		Lime pickle 		0	0	-100
POTRAVINY	CONDIMENTS 		Lime		0	66.66666667	0
POTRAVINY	NUTS 		Macadamia nuts 		100	0	0
POTRAVINY	NUTS 		Macadamia nuts 		0	-100	0
POTRAVINY	NUTS 		Macadamia nuts 		0	0	-100
POTRAVINY	CONDIMENTS 		Mango pickle		0	0	-100
POTRAVINY	CONDIMENTS 		Mango pickle 		100	0	0
POTRAVINY	CONDIMENTS 		Mango pickle 		0	-100	0
POTRAVINY	CONDIMENTS 		Mayonnaise 		100	0	0
POTRAVINY	CONDIMENTS 		Mayonnaise 		0	-100	0
POTRAVINY	CONDIMENTS 		Mayonnaise 		0	0	-100
POTRAVINY	CONDIMENTS 		Mustard		100	0	0
POTRAVINY	CONDIMENTS 		Mustard		0	-100	0
POTRAVINY	CONDIMENTS 		Mustard	without vinegar	0	0	100
POTRAVINY	NUTS 		Peanuts		100	0	0
POTRAVINY	NUTS 		Peanuts		0	-100	0
POTRAVINY	NUTS 		Peanuts		0	0	-100
POTRAVINY	NUTS 		Pecans		100	0	0
POTRAVINY	NUTS 		Pecans		0	-100	0
POTRAVINY	NUTS 		Pecans		0	0	-100
POTRAVINY	CONDIMENTS 		Pickles 		100	0	0
POTRAVINY	CONDIMENTS 		Pickles 		0	-100	0
POTRAVINY	CONDIMENTS 		Pickles 		0	0	-100
POTRAVINY	NUTS 		Pine nuts 		100	0	0
POTRAVINY	NUTS 		Pine nuts 		0	-100	0
POTRAVINY	NUTS 		Pine nuts 		0	0	-100
POTRAVINY	NUTS 		Pistachios		100	0	0
POTRAVINY	NUTS 		Pistachios		0	-100	0
POTRAVINY	NUTS 		Pistachios		0	0	-100
POTRAVINY	CONDIMENTS 		Salt		100	0	0
POTRAVINY	CONDIMENTS 		Salt		0	0	-100
POTRAVINY	CONDIMENTS 		Salt	in excess	0	-100	0
POTRAVINY	CONDIMENTS 		Salt		0	66.66666667	0
POTRAVINY	CONDIMENTS 		Scallions		100	0	0
POTRAVINY	CONDIMENTS 		Scallions		0	-100	0
POTRAVINY	CONDIMENTS 		Scallions		0	0	100
POTRAVINY	CONDIMENTS 		Seaweed 		100	0	0
POTRAVINY	CONDIMENTS 		Seaweed 		0	66.66666667	0
POTRAVINY	CONDIMENTS 		Seaweed 		0	0	66.66666667
POTRAVINY	CONDIMENTS 		Sója sauce 		100	0	0
POTRAVINY	CONDIMENTS 		Sója sauce 		0	-100	0
POTRAVINY	CONDIMENTS 		Sója sauce 		0	0	-100
POTRAVINY	CONDIMENTS 		Sprouts		0	66.66666667	0
POTRAVINY	CONDIMENTS 		Sprouts		0	0	100
POTRAVINY	CONDIMENTS 		Sprouts		66.66666667	0	0
POTRAVINY	CONDIMENTS 		Tamari 		0	0	-100
POTRAVINY	CONDIMENTS 		Tamari  		100	0	0
POTRAVINY	CONDIMENTS 		Tamari  		0	66.66666667	0
POTRAVINY	CONDIMENTS 		Vinegar		100	0	0
POTRAVINY	CONDIMENTS 		Vinegar		0	-100	0
POTRAVINY	CONDIMENTS 		Vinegar		0	0	-100
POTRAVINY	NUTS 		Walnuts		100	0	0
POTRAVINY	NUTS 		Walnuts		0	-100	0
POTRAVINY	NUTS 		Walnuts		0	0	-100
POTRAVINY	NUTS 		Black walnuts 		100	0	0
POTRAVINY	DAIRY		Butter		100	0	0
POTRAVINY	DAIRY		Butter		100	0	0
POTRAVINY	DAIRY		Butter	salted	0	-100	0
POTRAVINY	DAIRY		Butter	salted	0	0	-100
POTRAVINY	DAIRY		Butter	unsalted	0	100	0
POTRAVINY	DAIRY		Butter	unsalted	0	0	-33.33333333
POTRAVINY	DAIRY		Buttermilk		100	0	0
POTRAVINY	DAIRY		Buttermilk		0	-100	0
POTRAVINY	DAIRY		Buttermilk		0	0	66.66666667
POTRAVINY	DAIRY		Cheese	hard	0	-100	0
POTRAVINY	DAIRY		Cheese	hard	66.66666667	0	0
POTRAVINY	DAIRY		Cheese	soft	0	0	-100
POTRAVINY	DAIRY		Cheese	hard	0	0	-100
POTRAVINY	DAIRY		Cheese	soft	100	0	0
POTRAVINY	DAIRY		Cheese	soft, not aged, unsalted	0	100	0
POTRAVINY	DAIRY		Cottage cheese 		100	0	0
POTRAVINY	DAIRY		Cottage cheese 		0	100	0
POTRAVINY	DAIRY		Cottage cheese 	from skimmed goat's mlieko	0	0	100
POTRAVINY	DAIRY		Cow's mlieko 		100	0	0
POTRAVINY	DAIRY		Cow's mlieko 		0	100	0
POTRAVINY	DAIRY		Cow's mlieko 		0	0	-100
POTRAVINY	DAIRY		Cow's mlieko 	powdered	-100	0	0
POTRAVINY	DAIRY		Ghee		100	0	0
POTRAVINY	DAIRY		Ghee		0	100	0
POTRAVINY	DAIRY		Ghee		0	0	66.66666667
POTRAVINY	DAIRY		Goat's cheese 		100	0	0
POTRAVINY	DAIRY		Goat's cheese 	soft, unsalted	0	100	0
POTRAVINY	DAIRY		Goat's cheese 	unsalted, not aged	0	0	66.66666667
POTRAVINY	DAIRY		Goat's mlieko 		100	0	0
POTRAVINY	DAIRY		Goat's mlieko 		0	100	0
POTRAVINY	DAIRY		Goat's mlieko 	powdered	-100	0	0
POTRAVINY	DAIRY		Goat's mlieko 	skim	0	0	100
POTRAVINY	DAIRY		Ice cream 		0	100	0
POTRAVINY	DAIRY		Ice cream 		0	0	-100
POTRAVINY	DAIRY		Ice cream 		66.66666667	0	0
POTRAVINY	DAIRY	*	Most mliečne products		100	0	0
POTRAVINY	DAIRY		kyslé cream 		0	-100	0
POTRAVINY	DAIRY		kyslé cream 		0	0	-100
POTRAVINY	DAIRY		kyslé cream 		66.66666667	0	0
